property_name,preferred_plus_property,property_stars,property_address,dist_from_center,metro_access,booking_reviews,user_reviews,room_type,bed_type,sus_property_type,property_rating,price_per_night,breakfast_included,free_cancellation_no_prepayment
Bail mobilité Luxe Saint germain des Près,0,3,"6th arr., Paris",2.0,0,Fabulous ,23,Deluxe Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 31m²1 double bed,0,8.9,316,False,False
Secret de Paris - Hotel & Spa,1,4,"9th arr., Paris",3.2,0,Fabulous ,"1,554",Double Room Tour Eiffel with Shower,1 large double bed,0,8.8,170,False,False
Hôtel Coypel by Magna Arbor,1,3,"13th arr., Paris",2.6,1,Good ,"2,263",Standard Double Room,1 double bed,1,7.6,83,False,False
"The Originals City, Hôtel Lecourbe, Paris Tour Eiffel (Inter-Hotel)",1,3,"15th arr., Paris",3.4,1,Good ,"1,087",Standard Twin Room,2 single beds,0,7.8,103,False,False
French Theory,1,3,"5th arr., Paris",1.2,1,Very good ,"2,006",Twin Room,2 single beds,0,8.4,138,False,False
Hotel Prelude Opera,1,4,"9th arr., Paris",1.8,0,Fabulous ,"2,453",Standard Twin Room,2 single beds,1,8.7,157,False,False
Grand Hôtel Lévêque,1,3,"7th arr., Paris",3.3,1,Very good ,"1,565",Double Room,1 double bed,0,8.4,142,False,False
Hôtel Alane,1,3,"10th arr., Paris",2.1,1,Good ,"1,097",Double Room,1 double bed,0,7.8,94,False,False
Austin's Arts Et Metiers Hotel,1,3,"3rd arr., Paris",1.1,0,Very good ,"1,272",Double Room,1 double bed,1,8.2,155,False,False
Hotel Jenner,1,3,"13th arr., Paris",2.6,1,Good ,887,Superior Double Room,1 double bed,0,7.7,103,False,False
Hôtel Atlantis,1,3,"6th arr., Paris",1.5,1,Good ,982,Superior Double Room,1 large double bed,0,7.9,121,False,False
Hipotel Paris Voltaire Bastille,1,3,"11th arr., Paris",2.1,1,Good ,"2,036",Double Room,1 double bed,0,7.1,90,False,False
Hotel André Latin,1,3,"5th arr., Paris",1.7,0,Very good ,"1,078",Double Room,1 double bed,1,8.0,104,False,False
Hôtel du Vieux Marais,1,3,"4th arr., Paris",400.0,1,Very good ,"1,002",Standard Double Room,1 double bed,0,8.1,153,False,False
Hotel Max,1,3,"14th arr., Paris",3.6,1,Fabulous ,"1,199",Classic Double Room,1 double bed,1,8.8,124,False,False
